player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Camden Orth,108965,QB,BOWL GREEN,6,61.8,34,35,9.1,2.46,0,0,0.0,57.1,20,0,14,4.8,41,1,11,122,41.9,37.9,32.5,58.4,1,2,43,0,21.4,67.2,7.3,3,3,0,0,2,2,4.7,187,5.3
Bishop Davenport,163426,QB,UTAH ST,2,57.6,33,33,12.0,2.55,0,0,0.0,54.5,18,0,15,5.3,52,1,11,329,48.9,48.3,50.2,52.3,0,1,53,1,46.7,52.3,13.5,7,9,0,0,0,2,3.8,138,4.2
CJ Harris,130594,QB,OHIO,4,53.3,30,33,10.4,2.87,0,1,2.9,45.5,15,0,12,6.3,36,1,9,259,50.1,64.2,55.4,68.7,2,0,38,0,8.3,79.1,2.8,1,2,0,1,1,0,0.0,230,7.0
Giles Pooler,146019,QB,COLO STATE,1,44.8,29,32,12.9,2.75,1,0,0.0,34.4,11,0,17,15.4,37,2,6,144,43.9,33.1,33.3,53.8,1,1,42,0,17.6,36.5,8.1,3,2,0,1,0,4,9.5,144,4.5
Austin Burton,60577,QB,PURDUE,2,86.2,29,32,4.9,2.71,0,0,0.0,75.0,24,0,9,4.0,35,1,12,273,44.3,69.5,70.4,60.2,0,1,38,0,11.1,108.7,2.9,1,2,0,3,3,1,2.6,199,6.2
Tate Rodemaker,122414,QB,FLORIDA ST,6,70.4,27,32,12.6,3.29,2,2,5.4,56.3,18,0,21,5.3,38,1,11,167,41.0,73.0,68.1,70.4,0,2,43,2,19.0,76.8,10.5,4,2,0,3,2,4,9.3,254,7.9
Carson Beck,124010,QB,GEORGIA,5,80.6,31,31,7.2,2.34,0,2,6.1,74.2,23,0,5,8.0,34,2,14,173,23.9,72.3,86.2,38.3,0,0,36,0,0.0,131.3,0.0,0,2,0,0,3,0,0.0,261,8.4
Davis Beville,99588,QB,OKLAHOMA,3,57.1,28,30,10.9,2.94,1,0,0.0,50.0,15,0,8,6.3,36,1,6,261,73.7,54.2,50.1,59.3,0,1,37,0,75.0,44.0,16.7,6,0,0,1,0,1,2.7,102,3.4
D'Wan Mathis,99130,WR,TEMPLE,3,68.0,25,30,6.2,2.59,2,1,3.3,46.7,14,0,15,17.6,35,3,5,306,24.1,47.3,54.5,36.2,0,0,35,2,20.0,58.3,8.6,3,2,0,3,0,0,0.0,125,4.2
Jack Turner,162969,QB,LA TECH,2,69.2,26,29,8.5,2.54,1,0,0.0,55.2,16,0,16,11.1,35,2,11,208,69.1,50.3,43.3,70.2,1,2,35,0,18.8,53.2,8.6,3,3,0,1,1,2,5.7,156,5.4
Kaiya Sheron,62530,QB,KENTUCKY,2,70.4,27,29,7.3,2.69,1,1,3.3,58.6,17,0,13,10.5,37,2,8,202,70.6,70.3,68.7,63.4,0,1,38,0,46.2,86.4,16.2,6,1,0,1,2,0,0.0,187,6.4
Justin Lynch,144392,QB,N ILLINOIS,4,58.3,24,29,8.8,2.8,2,0,0.0,44.8,13,0,8,7.1,33,1,6,254,49.8,62.6,56.5,63.0,1,0,33,0,12.5,60.4,3.0,1,3,0,2,0,0,0.0,146,5.0
Jayden Clemons,100571,QB,WYOMING,3,55.2,29,29,14.9,2.65,0,2,6.9,41.4,12,0,7,25.0,30,4,8,351,73.9,50.6,48.3,59.6,0,3,30,1,0.0,29.3,0.0,0,1,0,0,1,3,10.0,145,5.0
Cade Fortin,77620,QB,ARKANSAS,3,61.5,26,29,9.5,2.55,0,2,6.9,48.3,14,0,11,12.5,33,2,7,111,29.9,60.6,56.9,66.5,1,0,33,0,27.3,73.2,9.1,3,1,0,2,1,1,3.0,135,4.7
James Foster,83563,QB,CHARLOTTE,5,52.0,25,28,11.0,3.44,0,2,5.9,42.9,12,0,13,7.7,36,1,8,136,39.5,52.4,54.1,51.4,1,1,42,0,23.1,72.0,8.3,3,5,0,2,2,2,4.8,170,6.1
