player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Holden Geriner,157045,QB,AUBURN,1,66.7,3,3,3.3,2.68,0,0,0.0,66.7,2,0,2,0.0,5,0,1,115,63.8,62.1,61.7,,0,0,6,0,100.0,70.1,40.0,2,0,0,0,0,0,0.0,8,2.7
Connor Cigelske,122433,QB,GA SOUTHRN,1,33.3,3,3,8.7,2.45,0,0,0.0,33.3,1,0,1,0.0,4,0,0,174,65.2,48.8,50.2,58.0,0,0,4,0,100.0,42.4,25.0,1,0,0,0,0,0,0.0,1,0.3
Thayer Thomas,61515,WR,NC STATE,3,100.0,2,3,11.5,3.43,0,1,25.0,66.7,2,0,1,0.0,3,0,1,248,65.8,69.5,90.2,,0,0,4,2,0.0,143.1,0.0,0,0,0,1,1,0,0.0,33,11.0
Michael Turk,82012,P,OKLAHOMA,3,100.0,3,3,-4.7,1.1,0,0,0.0,66.7,2,0,0,33.3,3,1,2,261,62.7,63.2,62.1,,0,0,3,0,,109.7,0.0,0,0,0,0,1,0,0.0,5,1.7
Lucas Coley,146625,QB,HOUSTON,2,100.0,3,3,-3.7,1.5,0,0,0.0,100.0,3,0,0,0.0,3,0,0,182,20.3,40.5,63.9,43.0,0,0,3,0,,79.2,0.0,0,0,0,0,0,0,0.0,8,2.7
D.J. Mack Jr.,55405,QB,DOMINION,2,50.0,2,3,4.0,2.1,0,0,0.0,33.3,1,0,0,0.0,3,0,1,263,21.1,51.0,55.7,66.0,0,0,3,0,,98.6,0.0,0,0,0,1,1,0,0.0,21,7.0
Gabriel Rogers,100921,WR,MEMPHIS,2,50.0,2,3,30.0,4.57,0,1,33.3,33.3,1,2,3,0.0,3,0,1,218,52.6,63.4,82.2,74.5,0,0,3,3,0.0,121.5,0.0,0,0,0,1,1,0,0.0,41,13.7
Kai Kroeger,124245,P,S CAROLINA,4,100.0,3,3,10.0,2.03,0,0,0.0,100.0,3,0,0,0.0,3,0,3,289,63.8,87.0,91.1,,0,0,5,0,,158.3,0.0,0,0,0,0,1,0,0.0,84,28.0
Johnny Langan,77617,TE,RUTGERS,3,66.7,3,3,13.7,2.0,0,0,0.0,66.7,2,0,2,0.0,3,0,1,278,36.2,57.3,38.9,64.1,0,0,3,3,0.0,149.3,0.0,0,0,0,0,1,1,33.3,43,14.3
Brady McBride,77641,QB,APP STATE,1,66.7,3,3,23.3,3.15,0,1,33.3,66.7,2,0,0,0.0,4,0,2,108,63.3,70.0,74.7,57.8,0,0,4,0,,103.5,0.0,0,1,0,0,0,0,0.0,33,11.0
Sam Horn,157167,QB,MISSOURI,1,50.0,2,2,12.0,1.85,0,1,33.3,0.0,0,0,0,100.0,2,1,0,229,64.8,88.7,83.9,62.3,0,0,3,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ben Brittain,125262,QB,AIR FORCE,2,100.0,1,2,30.0,2.7,0,1,50.0,50.0,1,0,1,0.0,2,0,1,101,69.6,90.4,84.8,72.3,0,0,2,0,0.0,135.4,0.0,0,0,0,1,1,0,0.0,80,40.0
Terrell Vaughn,157634,WR,UTAH ST,3,50.0,2,2,2.5,3.25,0,0,0.0,0.0,0,0,0,100.0,2,1,0,329,78.1,67.9,75.4,74.2,0,0,3,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Kai Puailoa-Rojas,121867,HB,NAVY,2,50.0,2,2,17.0,3.5,0,1,50.0,50.0,1,0,0,0.0,2,0,1,237,69.4,53.5,46.4,74.2,0,1,2,0,,95.8,0.0,0,0,0,0,1,1,50.0,26,13.0
CJ Lewis,61173,WR,BOWL GREEN,3,50.0,2,2,2.5,6.37,0,0,0.0,50.0,1,0,2,0.0,3,0,1,122,71.5,56.8,46.0,,0,0,3,3,50.0,75.0,33.3,1,0,0,0,0,0,0.0,15,7.5
Ta'Quan Roberson,101625,QB,UCONN,1,100.0,1,2,-5.0,2.65,0,0,0.0,50.0,1,0,0,0.0,2,0,0,146,67.6,83.2,58.9,76.4,0,0,2,0,,64.6,0.0,0,0,0,1,0,0,0.0,10,5.0
Dakereon Joyner,83554,WR,S CAROLINA,3,100.0,2,2,11.0,4.2,0,0,0.0,100.0,2,0,2,0.0,3,0,2,289,73.8,62.5,79.9,70.5,0,0,3,1,50.0,158.3,33.3,1,0,0,0,1,0,0.0,83,41.5
Bucky Irving,144970,HB,OREGON,2,100.0,2,2,-3.5,2.1,0,0,0.0,100.0,2,0,0,0.0,2,0,2,264,90.0,89.5,62.6,91.2,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,36,18.0
LeQuint Allen,158290,HB,SYRACUSE,2,50.0,2,2,24.0,3.55,0,0,0.0,50.0,1,0,0,0.0,2,0,1,304,78.6,73.8,62.3,75.8,0,0,2,0,,135.4,0.0,0,0,0,0,1,0,0.0,33,16.5
OJ Arnold,158336,HB,GA SOUTHRN,2,100.0,2,2,28.0,2.55,0,0,0.0,50.0,1,0,1,50.0,2,1,1,174,80.5,74.0,89.7,76.4,0,0,2,0,0.0,135.4,0.0,0,0,0,0,1,0,0.0,32,16.0
JP Richardson,144650,WR,OKLA STATE,2,100.0,1,2,32.0,4.1,0,0,0.0,50.0,1,0,0,0.0,2,0,1,262,75.4,62.3,55.7,,0,0,2,1,,95.8,0.0,0,0,0,1,0,0,0.0,32,16.0
Katin Houser,158386,QB,MICH STATE,1,50.0,2,2,7.0,3.45,0,0,0.0,50.0,1,0,1,0.0,2,0,0,223,64.4,58.3,50.0,63.3,0,0,2,0,0.0,56.3,0.0,0,0,0,0,0,0,0.0,2,1.0
John Mateer,158516,QB,WASH STATE,1,100.0,2,2,16.5,1.95,0,0,0.0,100.0,2,0,0,0.0,2,0,1,341,71.2,80.1,59.7,74.4,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,32,16.0
KeAndre Lambert-Smith,129789,WR,PENN STATE,2,100.0,2,2,14.5,2.9,0,0,0.0,100.0,2,1,0,0.0,2,0,2,266,70.8,67.4,76.8,,0,0,2,1,,158.3,0.0,0,0,0,0,1,0,0.0,73,36.5
Isaiah Bowser,66123,HB,UCF,3,100.0,2,2,2.0,1.4,0,0,0.0,100.0,2,0,0,0.0,2,0,1,323,82.8,71.5,71.5,72.3,0,0,3,0,,118.8,0.0,0,0,0,0,1,0,0.0,4,2.0
Tory Horton,128232,WR,COLO STATE,3,100.0,2,2,10.0,4.55,0,0,0.0,100.0,2,0,2,0.0,4,0,2,144,83.0,78.9,69.2,64.3,0,0,4,1,50.0,118.8,25.0,1,1,0,0,0,0,0.0,35,17.5
Bryce Archie,156667,QB,COAST CAR,1,0.0,2,2,21.0,2.6,0,0,0.0,0.0,0,0,1,,2,0,0,141,66.2,49.2,39.2,63.9,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Gino English,99576,QB,FLORIDA ST,1,100.0,2,2,-2.5,1.3,0,0,0.0,100.0,2,0,0,0.0,2,0,1,167,10.2,40.2,62.7,49.5,0,0,2,0,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0
Tetairoa McMillan,158735,WR,ARIZONA,2,100.0,2,2,0.5,4.85,0,0,0.0,100.0,2,1,1,0.0,2,0,1,109,72.9,66.5,74.3,,0,0,2,1,0.0,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0
Jay Woolfolk,151104,QB,VIRGINIA,1,0.0,1,2,14.0,4.33,1,0,0.0,0.0,0,0,0,,3,0,1,335,65.5,56.0,51.8,62.4,0,0,5,0,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Austin McCready,145261,P,LA TECH,2,0.0,2,2,15.5,2.8,0,0,0.0,0.0,0,0,1,,2,0,0,208,61.8,54.5,51.0,,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Brian Cobbs,84285,WR,UTAH ST,5,0.0,2,2,27.0,4.38,0,0,0.0,0.0,0,0,1,,4,0,0,329,75.4,73.3,62.7,53.1,0,0,6,1,0.0,39.6,0.0,0,2,0,0,0,0,0.0,0,0.0
Brock Vandagriff,146713,QB,GEORGIA,2,100.0,1,2,16.0,2.6,1,0,0.0,0.0,0,0,0,100.0,2,1,0,173,67.6,67.1,70.7,58.6,0,0,2,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Eric Gray,99143,HB,OKLAHOMA,1,50.0,2,2,2.5,1.65,0,0,0.0,50.0,1,0,0,0.0,2,0,0,261,85.8,90.6,28.3,92.4,0,1,2,1,,16.7,0.0,0,0,0,0,0,1,50.0,0,0.0
Sam Huard,146463,QB,WASHINGTON,1,100.0,2,2,2.0,2.57,0,0,0.0,100.0,2,0,1,0.0,3,0,2,340,63.3,51.0,49.6,,0,0,4,0,100.0,116.7,33.3,1,0,0,0,0,0,0.0,24,12.0
Jack Colletto,83540,FB,OREGON ST,2,100.0,2,2,26.5,3.4,0,0,0.0,100.0,2,0,1,0.0,2,0,2,265,78.2,73.9,90.1,77.2,0,0,2,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,53,26.5
Jordan Watkins,122730,WR,OLE MISS,2,100.0,1,1,-1.0,5.3,0,0,0.0,100.0,1,0,1,0.0,2,0,0,226,83.6,56.7,58.9,59.6,0,0,2,3,100.0,83.3,50.0,1,0,0,0,0,0,0.0,4,4.0
Tre Harris,122676,WR,LA TECH,1,0.0,1,1,41.0,4.3,0,0,0.0,0.0,0,0,0,,1,0,0,208,55.3,77.8,27.5,62.8,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Roman Fuller,123247,QB,TULSA,1,100.0,1,1,6.0,1.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,320,68.7,70.8,71.7,60.3,0,0,1,0,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
Xavier Hutchinson,122518,WR,IOWA STATE,1,100.0,1,1,-1.0,6.8,0,0,0.0,0.0,0,0,1,100.0,1,1,0,193,78.5,89.7,60.4,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Cameron Peters,123326,QB,UTSA,2,0.0,1,1,34.0,4.0,0,0,0.0,0.0,0,0,1,,2,0,0,331,68.7,48.3,49.6,56.4,0,0,2,0,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Nate McCollum,122487,WR,GA TECH,3,0.0,1,1,17.0,3.67,0,0,0.0,0.0,0,0,2,,3,0,0,176,45.5,76.0,36.3,56.6,0,0,3,0,50.0,39.6,33.3,1,1,0,0,0,0,0.0,0,0.0
Tez Johnson,123709,WR,TROY,1,100.0,1,1,11.0,3.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,318,55.6,89.1,73.1,48.9,0,0,1,0,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
Stone Frost,121805,QB,MIDDLE TN,1,100.0,1,1,-4.0,0.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,224,70.5,86.6,60.4,76.7,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-4,-4.0
Tyrell Robinson,121607,HB,ARMY,1,100.0,1,1,5.0,2.9,0,0,0.0,100.0,1,0,0,0.0,1,0,0,114,62.3,72.1,57.7,78.4,0,0,1,0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Nasjzae Bryant-Lelei,111818,HB,HAWAII,1,0.0,1,1,3.0,2.1,0,0,0.0,0.0,0,0,0,,1,0,0,180,83.1,78.9,54.0,79.5,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Koy Moore,124104,WR,AUBURN,1,0.0,1,1,-6.0,4.1,0,0,0.0,0.0,0,0,1,,1,0,0,115,70.8,54.5,42.5,57.5,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Grant DuBose,111276,WR,CHARLOTTE,1,0.0,1,1,37.0,4.1,0,0,0.0,0.0,0,1,0,,1,0,0,136,63.4,71.6,49.9,,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Will Derrick,105790,WR,LA MONROE,2,100.0,1,1,7.0,4.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,209,65.6,51.5,69.2,,0,0,2,1,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Isaac Ross,104919,WR,UMASS,2,0.0,1,1,32.0,4.3,0,0,0.0,0.0,0,0,1,,2,0,1,216,38.6,59.1,49.9,72.7,0,0,2,0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Keanu Hill,102960,WR,BYU,1,100.0,1,1,-6.0,3.4,0,0,0.0,100.0,1,0,0,0.0,1,0,0,128,38.9,68.0,60.6,,0,0,1,2,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Dalen Cambre,102933,WR,LA LAFAYET,1,0.0,1,1,12.0,5.3,0,0,0.0,0.0,0,0,1,,1,0,0,207,63.7,62.7,57.7,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jaylin Noel,125155,WR,IOWA STATE,1,0.0,1,1,13.0,3.7,0,0,0.0,0.0,0,1,0,,1,0,0,193,73.2,62.8,47.3,70.9,0,0,1,4,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Josh Hoover,127148,QB,TCU,1,100.0,1,1,-3.0,1.2,0,0,0.0,100.0,1,0,0,0.0,1,0,0,305,60.3,61.5,60.6,,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0
Jordan Nabors,127151,WR,BAYLOR,2,0.0,1,1,38.0,1.5,0,0,0.0,0.0,0,0,1,,2,0,0,118,76.0,53.8,29.1,66.3,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
TJ Sheffield,101741,WR,PURDUE,1,,0,1,,3.7,0,0,0.0,0.0,0,1,1,,1,0,0,273,39.1,57.0,60.0,47.9,0,0,1,4,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
John Dunmore,101705,WR,OREGON ST,1,100.0,1,1,24.0,2.8,0,1,100.0,100.0,1,0,0,0.0,1,0,1,265,65.3,69.3,87.7,,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,41,41.0
Dior Scott,128211,WR,HAWAII,1,0.0,1,1,-1.0,8.9,0,0,0.0,0.0,0,0,1,,1,0,0,180,79.8,57.2,57.7,55.9,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
George Johnson III,101696,WR,UMASS,1,0.0,1,1,11.0,3.0,0,0,0.0,0.0,0,1,1,,1,0,0,216,74.3,60.8,46.8,57.1,0,0,1,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Stephen Kotsanlee,128385,P,UTAH ST,1,100.0,1,1,-3.0,1.9,0,0,0.0,100.0,1,0,0,0.0,1,0,1,329,65.9,62.5,60.6,63.9,0,0,1,0,,116.7,0.0,0,0,0,0,0,0,0.0,12,12.0
Kalel Mullings,129590,LB,MICHIGAN,1,100.0,1,1,13.0,2.5,0,0,0.0,100.0,1,0,0,0.0,1,0,1,222,66.8,68.4,74.3,59.0,0,0,1,1,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0
Andy Maddox,101619,QB,MICHIGAN,1,100.0,1,1,4.0,1.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,222,63.7,62.2,60.6,60.0,0,0,1,0,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0
Luke Elzinga,130433,P,C MICHIGAN,1,100.0,1,1,15.0,1.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,134,60.3,85.2,75.4,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,20,20.0
Ryan O'Keefe,101139,WR,UCF,2,0.0,1,1,-4.0,4.15,0,0,0.0,0.0,0,0,1,,2,0,0,323,65.2,70.1,50.9,74.3,0,0,2,1,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Anthony Sambucci,130663,WR,W MICHIGAN,2,100.0,1,1,33.0,3.5,0,0,0.0,100.0,1,1,0,0.0,1,0,1,347,77.5,59.8,88.0,,0,0,2,2,,158.3,0.0,0,0,0,0,1,0,0.0,31,31.0
Damon Ward Jr.,100880,WR,N TEXAS,1,0.0,1,1,16.0,4.2,0,0,0.0,0.0,0,1,1,,1,0,0,251,70.8,63.8,48.5,,0,0,1,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Devaughn Vele,100637,WR,UTAH,1,100.0,1,1,9.0,3.1,0,0,0.0,100.0,1,0,0,0.0,1,0,0,328,55.8,69.9,77.2,57.7,0,0,1,0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0
Jay Butterfield,131706,QB,OREGON,1,100.0,1,1,-7.0,1.6,0,0,0.0,100.0,1,0,0,0.0,1,0,0,264,67.5,63.8,61.0,60.8,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0
Chase Griffin,100579,QB,UCLA,1,100.0,1,1,12.0,2.1,0,0,0.0,0.0,0,0,0,100.0,1,1,0,324,60.3,57.9,56.6,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jared Wayne,99691,WR,PITTSBURGH,1,0.0,1,1,19.0,3.1,0,0,0.0,0.0,0,0,0,,1,0,0,268,49.1,82.6,33.8,,0,1,1,3,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Demarcus Jones II,99614,HB,NC STATE,1,,0,1,,3.6,0,0,0.0,0.0,0,0,1,,1,0,0,248,76.4,58.1,60.0,65.5,1,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jensen Jones,133209,QB,AIR FORCE,1,0.0,1,1,-3.0,2.9,0,0,0.0,0.0,0,0,1,,1,0,0,101,75.7,72.8,54.4,69.9,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Marcus Major,99488,HB,OKLAHOMA,1,100.0,1,1,-4.0,0.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,261,82.8,69.2,60.6,68.9,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,-2,-2.0
Kobe Paysour,143974,WR,N CAROLINA,1,0.0,1,1,-6.0,4.2,0,0,0.0,0.0,0,0,0,,1,0,0,245,27.2,61.2,57.7,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Chance Black,144069,HB,VA TECH,1,0.0,1,1,25.0,4.3,0,0,0.0,0.0,0,0,0,,1,0,0,337,59.0,64.3,58.4,67.2,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Joshua Cephus,98095,WR,UTSA,2,100.0,1,1,-5.0,3.5,0,0,0.0,100.0,1,0,0,0.0,1,0,0,331,66.5,73.5,60.4,57.7,0,0,2,3,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0
Dalvin Smith,98019,WR,W KENTUCKY,1,0.0,1,1,33.0,4.3,0,0,0.0,0.0,0,0,1,,1,0,0,346,21.2,61.9,50.1,,0,0,1,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Maquel Haywood,144314,HB,NAVY,1,0.0,1,1,27.0,2.9,0,0,0.0,0.0,0,0,0,,1,0,0,237,85.7,76.0,37.9,85.5,0,1,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Lance LeGendre,97779,QB,LA LAFAYET,1,,0,1,,5.5,0,0,0.0,0.0,0,0,1,,1,0,0,207,69.1,73.3,60.0,60.5,0,0,1,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Zakhari Franklin,97620,WR,UTSA,1,,0,1,,4.3,0,0,0.0,0.0,0,0,1,,1,0,0,331,75.6,76.7,60.0,,0,0,1,2,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Ryan Davis,97321,WR,UAB,1,0.0,1,1,-4.0,3.0,0,0,0.0,0.0,0,0,0,,1,0,0,321,66.4,79.2,60.6,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jaden Nixon,144652,HB,OKLA STATE,1,100.0,1,1,-4.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,262,64.5,69.1,60.4,73.1,0,0,1,0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0
Xavier Worthy,144718,WR,TEXAS,1,100.0,1,1,30.0,3.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,311,66.8,71.0,75.7,,0,0,1,1,,158.3,0.0,0,0,0,0,1,0,0.0,33,33.0
Jamious Griffin,97189,HB,OREGON ST,1,100.0,1,1,-4.0,2.7,0,0,0.0,0.0,0,0,0,100.0,1,1,0,265,69.9,81.2,60.4,81.9,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Donaven McCulley,144829,WR,INDIANA,1,100.0,1,1,14.0,4.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,190,71.8,59.9,72.6,59.2,0,0,1,2,,118.8,0.0,0,0,0,0,0,0,0.0,23,23.0
Dayton Wade,97181,WR,OLE MISS,1,0.0,1,1,43.0,4.2,0,0,0.0,0.0,0,0,0,,1,0,0,226,76.0,64.0,58.1,71.8,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Dashaun Davis,97178,WR,APP STATE,1,100.0,1,1,22.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,108,74.5,67.7,76.2,74.1,0,0,1,1,,158.3,0.0,0,0,0,0,1,0,0.0,17,17.0
Malik Washington,97108,WR,NWESTERN,3,100.0,1,1,5.0,4.33,0,0,0.0,100.0,1,0,2,0.0,3,0,0,256,34.7,71.1,58.9,56.1,0,0,3,1,50.0,91.7,33.3,1,1,0,0,0,0,0.0,6,6.0
Ron Cook Jr.,97070,HB,BUFFALO,1,100.0,1,1,7.0,3.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,126,90.1,75.7,77.2,75.6,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0
Aron Cruickshank,84516,WR,RUTGERS,1,100.0,1,1,-8.0,3.3,0,0,0.0,100.0,1,1,0,0.0,1,0,0,278,72.0,67.6,60.6,66.1,0,0,1,2,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Ronnie Bell,84288,WR,MICHIGAN,2,0.0,1,1,33.0,4.4,0,0,0.0,0.0,0,0,1,,2,0,0,222,28.2,74.3,47.5,63.2,0,0,2,0,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Samson Evans,84228,HB,E MICHIGAN,1,100.0,1,1,6.0,2.1,0,0,0.0,100.0,1,0,0,0.0,1,0,1,160,85.0,82.4,71.5,84.3,0,0,1,0,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Shemar Thornton,84180,WR,N ILLINOIS,3,100.0,1,1,10.0,3.3,0,0,0.0,100.0,1,0,0,0.0,1,0,1,254,71.8,76.9,91.3,,0,0,3,2,,118.8,0.0,0,0,0,0,1,0,0.0,3,3.0
Tyrin Smith,145487,WR,UTEP,1,100.0,1,1,31.0,4.9,0,0,0.0,100.0,1,0,1,0.0,1,0,1,330,55.6,72.8,75.7,61.4,0,0,1,2,0.0,118.8,0.0,0,0,0,0,0,0,0.0,56,56.0
Brenden Brady,83795,HB,UTSA,1,100.0,1,1,37.0,3.4,0,0,0.0,100.0,1,0,1,0.0,1,0,1,331,80.8,73.8,58.0,80.6,0,0,1,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,35,35.0
Bailey Rice,145570,P,CHARLOTTE,1,100.0,1,1,7.0,2.4,0,0,0.0,100.0,1,0,0,0.0,1,0,1,136,60.3,61.7,62.2,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0
Jordan Byrd,83748,HB,S DIEGO ST,1,0.0,1,1,22.0,3.5,0,0,0.0,0.0,0,0,1,,1,0,0,284,62.1,68.3,50.4,72.6,0,0,1,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Toa Taua,83722,HB,NEVADA,2,,0,1,,2.7,0,0,0.0,0.0,0,0,2,,2,0,0,239,91.2,77.0,55.4,78.3,1,0,2,1,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Ryan Jankowski,145600,QB,AKRON,2,0.0,1,1,18.0,4.35,0,0,0.0,0.0,0,0,2,,2,0,0,102,64.4,45.5,43.3,60.0,0,0,2,1,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0
Kiael Kelly,145634,QB,BALL ST,1,100.0,1,1,0.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,117,71.9,92.0,60.4,84.0,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,23,23.0
Mitchell Tomasek,145765,P,E MICHIGAN,1,0.0,1,1,17.0,5.0,0,0,0.0,0.0,0,0,1,,1,0,0,160,60.3,58.5,57.7,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Josh Smith,145784,P,KENT STATE,2,100.0,1,1,6.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1,201,61.8,69.3,70.9,,0,0,2,0,,118.8,0.0,0,0,0,0,0,0,0.0,14,14.0
Vontravious Hall,83526,WR,NEW MEXICO,1,0.0,1,1,21.0,3.2,0,0,0.0,0.0,0,0,1,,1,0,0,241,67.3,54.7,50.8,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jamarye Joiner,82071,WR,ARIZONA,1,,0,1,,5.3,0,0,0.0,0.0,0,0,1,,1,0,0,109,73.7,53.5,60.0,57.7,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Walker Eget,146170,QB,S JOSE ST,1,0.0,1,1,29.0,2.2,0,0,0.0,0.0,0,0,0,,1,0,0,285,63.7,50.0,52.5,60.0,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Dylan Drummond,78187,WR,E MICHIGAN,1,100.0,1,1,18.0,3.4,0,0,0.0,100.0,1,0,1,0.0,1,0,1,160,82.4,68.2,73.1,,0,0,1,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,23,23.0
Jayden Reed,78171,WR,MICH STATE,1,100.0,1,1,27.0,2.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,223,47.0,70.4,58.4,59.6,0,0,1,2,,158.3,0.0,0,0,0,0,1,0,0.0,25,25.0
Nick Haberer,146532,P,WASH STATE,1,100.0,1,1,13.0,1.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1,341,60.3,70.7,75.4,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,36,36.0
Malik Knowles,78141,WR,KANSAS ST,1,100.0,1,1,10.0,3.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,199,36.1,75.7,72.6,82.9,0,0,1,1,,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0
Sam James,78123,WR,W VIRGINIA,1,100.0,1,1,10.0,4.1,0,0,0.0,100.0,1,0,1,0.0,1,0,1,343,76.7,64.4,72.6,63.0,0,0,1,2,0.0,116.7,0.0,0,0,0,0,0,0,0.0,12,12.0
Jarquez Hunter,146662,HB,AUBURN,2,100.0,1,1,23.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,115,64.5,80.1,76.6,82.7,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,20,20.0
